id,key,title,time,home,away,home_team_price,away_team_price,home_team_spread,away_team_spread,home_team_spread_price,away_team_spread_price,bookmaker,last_update
f3ffd50ea0e356d149f2f0329b39d88e,americanfootball_cfl,CFL,2024-06-15T23:00:00Z,BC Lions,Calgary Stampeders,-385,290,-8.5,8.5,-120,-103,BetRivers,2024-06-12T17:17:13Z
f3ffd50ea0e356d149f2f0329b39d88e,americanfootball_cfl,CFL,2024-06-15T23:00:00Z,BC Lions,Calgary Stampeders,-400,330,-8.0,8.0,-110,-110,SuperBook,2024-06-12T17:15:56Z
f3ffd50ea0e356d149f2f0329b39d88e,americanfootball_cfl,CFL,2024-06-15T23:00:00Z,BC Lions,Calgary Stampeders,-425,335,-7.5,7.5,-110,-110,BetUS,2024-06-12T17:17:17Z
f3ffd50ea0e356d149f2f0329b39d88e,americanfootball_cfl,CFL,2024-06-15T23:00:00Z,BC Lions,Calgary Stampeders,-400,310,-8.5,8.5,-110,-110,BetMGM,2024-06-12T17:12:05Z
65e21b9d76442f6d825766427601ef97,americanfootball_cfl,CFL,2024-06-16T23:00:00Z,Hamilton Tiger-Cats,Saskatchewan Roughriders,-115,-104,,,,,FanDuel,2024-06-12T17:16:30Z
65e21b9d76442f6d825766427601ef97,americanfootball_cfl,CFL,2024-06-16T23:00:00Z,Hamilton Tiger-Cats,Saskatchewan Roughriders,-115,-105,1.0,-1.0,-122,102,DraftKings,2024-06-12T17:17:00Z
65e21b9d76442f6d825766427601ef97,americanfootball_cfl,CFL,2024-06-16T23:00:00Z,Hamilton Tiger-Cats,Saskatchewan Roughriders,-120,100,-1.5,1.5,-110,-110,Bovada,2024-06-12T17:17:04Z
65e21b9d76442f6d825766427601ef97,americanfootball_cfl,CFL,2024-06-16T23:00:00Z,Hamilton Tiger-Cats,Saskatchewan Roughriders,-120,100,-1.0,1.0,-110,-110,BetOnline.ag,2024-06-12T17:16:33Z
65e21b9d76442f6d825766427601ef97,americanfootball_cfl,CFL,2024-06-16T23:00:00Z,Hamilton Tiger-Cats,Saskatchewan Roughriders,-120,100,-1.0,1.0,-110,-110,LowVig.ag,2024-06-12T17:16:57Z
65e21b9d76442f6d825766427601ef97,americanfootball_cfl,CFL,2024-06-16T23:00:00Z,Hamilton Tiger-Cats,Saskatchewan Roughriders,-115,-105,-1.0,1.0,-110,-110,Caesars,2024-06-12T17:17:13Z
65e21b9d76442f6d825766427601ef97,americanfootball_cfl,CFL,2024-06-16T23:00:00Z,Hamilton Tiger-Cats,Saskatchewan Roughriders,-110,-110,-1.5,1.5,100,-124,BetRivers,2024-06-12T17:17:13Z
65e21b9d76442f6d825766427601ef97,americanfootball_cfl,CFL,2024-06-16T23:00:00Z,Hamilton Tiger-Cats,Saskatchewan Roughriders,-120,100,-1.5,1.5,-110,-110,SuperBook,2024-06-12T17:15:56Z
65e21b9d76442f6d825766427601ef97,americanfootball_cfl,CFL,2024-06-16T23:00:00Z,Hamilton Tiger-Cats,Saskatchewan Roughriders,-120,100,-1.0,1.0,-110,-110,BetUS,2024-06-12T17:17:17Z
65e21b9d76442f6d825766427601ef97,americanfootball_cfl,CFL,2024-06-16T23:00:00Z,Hamilton Tiger-Cats,Saskatchewan Roughriders,-115,-105,-1.5,1.5,-105,-115,BetMGM,2024-06-12T17:12:05Z
c9ed67d5cfcd62e5535c5d0cf63a81f3,americanfootball_cfl,CFL,2024-06-20T23:30:00Z,Montreal Alouettes,Ottawa Redblacks,-480,360,,,,,FanDuel,2024-06-12T17:16:30Z
9cc957721a73eb888d1782018b66003b,americanfootball_cfl,CFL,2024-06-22T00:30:00Z,Winnipeg Blue Bombers,BC Lions,-164,136,,,,,FanDuel,2024-06-12T17:16:30Z
46f04d00c019f5d844575ab972dc367e,americanfootball_cfl,CFL,2024-06-22T23:00:00Z,Toronto Argonauts,Edmonton Elks,-245,198,,,,,FanDuel,2024-06-12T17:16:30Z
efca82b14dab15740f560a03af631dd1,americanfootball_cfl,CFL,2024-06-23T23:00:00Z,Saskatchewan Roughriders,Hamilton Tiger-Cats,-178,146,,,,,FanDuel,2024-06-12T17:16:30Z
329ee4daba3514dce8018d5768e5043f,americanfootball_ncaaf,NCAAF,2024-08-24T16:00:00Z,Georgia Tech Yellow Jackets,Florida State Seminoles,365,-490,12.5,-12.5,-110,-110,FanDuel,2024-06-12T17:15:46Z
329ee4daba3514dce8018d5768e5043f,americanfootball_ncaaf,NCAAF,2024-08-24T16:00:00Z,Georgia Tech Yellow Jackets,Florida State Seminoles,365,-490,13.5,-13.5,-106,-106,LowVig.ag,2024-06-12T17:15:32Z
329ee4daba3514dce8018d5768e5043f,americanfootball_ncaaf,NCAAF,2024-08-24T16:00:00Z,Georgia Tech Yellow Jackets,Florida State Seminoles,365,-490,13.5,-13.5,-110,-110,BetOnline.ag,2024-06-12T17:15:35Z
329ee4daba3514dce8018d5768e5043f,americanfootball_ncaaf,NCAAF,2024-08-24T16:00:00Z,Georgia Tech Yellow Jackets,Florida State Seminoles,400,-575,13.5,-13.5,-110,-110,Bovada,2024-06-12T17:16:19Z
329ee4daba3514dce8018d5768e5043f,americanfootball_ncaaf,NCAAF,2024-08-24T16:00:00Z,Georgia Tech Yellow Jackets,Florida State Seminoles,400,-575,13.5,-13.5,-118,-117,MyBookie.ag,2024-06-12T17:17:14Z
329ee4daba3514dce8018d5768e5043f,americanfootball_ncaaf,NCAAF,2024-08-24T16:00:00Z,Georgia Tech Yellow Jackets,Florida State Seminoles,400,-575,13.0,-13.0,-110,-110,DraftKings,2024-06-12T17:16:05Z
329ee4daba3514dce8018d5768e5043f,americanfootball_ncaaf,NCAAF,2024-08-24T16:00:00Z,Georgia Tech Yellow Jackets,Florida State Seminoles,400,-560,12.5,-12.5,-110,-110,BetRivers,2024-06-12T17:17:18Z
329ee4daba3514dce8018d5768e5043f,americanfootball_ncaaf,NCAAF,2024-08-24T16:00:00Z,Georgia Tech Yellow Jackets,Florida State Seminoles,400,-560,13.5,-13.5,-110,-110,Caesars,2024-06-12T17:16:43Z
329ee4daba3514dce8018d5768e5043f,americanfootball_ncaaf,NCAAF,2024-08-24T16:00:00Z,Georgia Tech Yellow Jackets,Florida State Seminoles,400,-560,13.5,-13.5,-110,-110,SuperBook,2024-06-12T17:15:41Z
329ee4daba3514dce8018d5768e5043f,americanfootball_ncaaf,NCAAF,2024-08-24T16:00:00Z,Georgia Tech Yellow Jackets,Florida State Seminoles,400,-560,13.5,-13.5,-110,-110,BetMGM,2024-06-12T17:16:02Z
